targets,layer,filename,fld_value,units,name,description,layer_gl,path_in
AO resilienceCP resilienceCS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceNP resilienceSPP resilience,hd_habitat,hd_habitat_gl2018.csv,resilience score,scaled 0-1,Management of habitat to protect habitat biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions,hd_habitat,~/github/ohi-global/eez/layers/hd_habitat.csv
AO resilienceCP resilienceCS resilienceHAB resilienceNP resilience,hd_mpa_coast,hd_mpa_coast_gl2018.csv,resilience.score,scaled 0-1,Coastal protected marine areas (habitat preservation),Protected marine areas within 3nm of coastline (lasting special places goal status score),hd_mpa_coast,~/github/ohi-global/eez/layers/hd_mpa_coast.csv
AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_habitat,fp_habitat_gl2018.csv,resilience score,scaled 0-1,Management of habitat to protect fisheries biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions,fp_habitat,~/github/ohi-global/eez/layers/fp_habitat.csv
AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_mora,fp_mora_gl2018.csv,value,scaled 0-1,Commercial fishing management,Country scale regulations and management of commerical fishing,fp_mora,~/github/ohi-global/eez/layers/fp_mora.csv
AO resilienceHAB resilienceNP resilience,fp_mpa_coast,fp_mpa_coast_gl2018.csv,resilience.score,scaled 0-1,Coastal protected marine areas (fishing preservation),Protected marine areas within 3nm of coastline (lasting special places goal status score),fp_mpa_coast,~/github/ohi-global/eez/layers/fp_mpa_coast.csv
AO resilienceHAB resilienceNP resilience,species_diversity_3nm,species_diversity_3nm_gl2018.csv,score,scaled 0-1,Measure of coastal ecological integrity,Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity,species_diversity_3nm,~/github/ohi-global/eez/layers/species_diversity_3nm.csv
CP,hab_coral_extent,hab_coral_extent_gl2018.csv,km2,km2,Habitat extent of coral,Area of coral habitat,hab_coral_extent,~/github/ohi-global/eez/layers/hab_coral_extent.csv
CP,hab_seaice_extent,hab_seaice_extent_gl2018placeholder.csv,km2,km2,Habitat extent of seaice,Area of seaice (edge and shoreline) habitat,hab_seaice_extent,~/github/ohi-global/eez/layers/hab_seaice_extent.csv
CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure,cc_acid,cc_acid_gl2018.csv,pressure_score,scaled 0-1,Ocean acidification,"Pressure due to increasing ocean acidification, scaled using biological thresholds",cc_acid,~/github/ohi-global/eez/layers/cc_acid.csv
CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure,cc_sst,cc_sst_gl2018.csv,pressure_score,scaled 0-1,Sea surface temperature,Presure due to increasing extreme sea surface temperature events,cc_sst,~/github/ohi-global/eez/layers/cc_sst.csv
CP pressureCS pressureECO pressureHAB pressureLIV pressureLSP pressureMAR pressureNP pressureTR pressure,cc_slr,cc_slr_gl2018.csv,pressure_score,scaled 0-1,Sea level rise,Pressure due to rising mean sea level,cc_slr,~/github/ohi-global/eez/layers/cc_slr.csv
CP pressureHAB pressureNP pressureSPP pressure,cc_uv,cc_uv_gl2018.csv,pressure_score,scaled 0-1,UV radiation,Pressure due to increasing frequency of UV anomolies,cc_uv,~/github/ohi-global/eez/layers/cc_uv.csv
CP resilienceCS resilienceCW resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,po_water,po_water_gl2018.csv,resilience score,scaled 0-1,Management of waters to preserve biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: clean water management related questions,po_water,~/github/ohi-global/eez/layers/po_water.csv
CPHAB,hab_coral_health,hab_coral_health_gl2018.csv,health,proportion,Habitat condition of coral,Current condition of coral habitat relative to historical condition,hab_coral_health,~/github/ohi-global/eez/layers/hab_coral_health.csv
CPHAB,hab_coral_trend,hab_coral_trend_gl2018.csv,trend,trend,Habitat condition trend of coral,Estimated trend in coral condition,hab_coral_trend,~/github/ohi-global/eez/layers/hab_coral_trend.csv
CPHAB,hab_seaice_health,hab_seaice_health_gl2018placeholder.csv,health,proportion,Habitat condition of seaice,Current condition of seaice habitat relative to historical condition,hab_seaice_health,~/github/ohi-global/eez/layers/hab_seaice_health.csv
CPHAB,hab_seaice_trend,hab_seaice_trend_gl2018placeholder.csv,trend,trend,Habitat condition trend of seaice,Estimated trend in seaice condition,hab_seaice_trend,~/github/ohi-global/eez/layers/hab_seaice_trend.csv
CSCP,hab_mangrove_extent,hab_mangrove_extent_gl2018.csv,km2,km2,Habitat extent of mangrove,Area of mangrove habitat,hab_mangrove_extent,~/github/ohi-global/eez/layers/hab_mangrove_extent.csv
CSCP,hab_saltmarsh_extent,hab_saltmarsh_extent_gl2018placeholder.csv,km2,km2,Habitat extent of saltmarsh,Area of saltmarsh habitat,hab_saltmarsh_extent,~/github/ohi-global/eez/layers/hab_saltmarsh_extent.csv
CSCP,hab_seagrass_extent,hab_seagrass_extent_gl2018.csv,km2,km2,Habitat extent of seagrass,Area of seagrass habitat,hab_seagrass_extent,~/github/ohi-global/eez/layers/hab_seagrass_extent.csv
CSHABCP,hab_mangrove_health,hab_mangrove_health_gl2018.csv,health,proportion,Habitat condition of mangrove,Current condition of mangrove habitat relative to historical condition,hab_mangrove_health,~/github/ohi-global/eez/layers/hab_mangrove_health.csv
CSHABCP,hab_mangrove_trend,hab_mangrove_trend_gl2018.csv,trend,trend,Habitat condition trend of mangrove,Estimated trend in mangrove condition,hab_mangrove_trend,~/github/ohi-global/eez/layers/hab_mangrove_trend.csv
CSHABCP,hab_saltmarsh_health,hab_saltmarsh_health_gl2018placeholder.csv,health,proportion,Habitat condition of saltmarsh,Current condition of saltmarsh habitat relative to historical condition,hab_saltmarsh_health,~/github/ohi-global/eez/layers/hab_saltmarsh_health.csv
CSHABCP,hab_saltmarsh_trend,hab_saltmarsh_trend_gl2018placeholder.csv,trend,trend,Habitat condition trend of saltmarsh,Estimated trend in saltmarsh condition,hab_saltmarsh_trend,~/github/ohi-global/eez/layers/hab_saltmarsh_trend.csv
CSHABCP,hab_seagrass_health,hab_seagrass_health_gl2018.csv,health,proportion,Habitat condition of seagrass,Current condition of seagrass habitat relative to historical condition,hab_seagrass_health,~/github/ohi-global/eez/layers/hab_seagrass_health.csv
CSHABCP,hab_seagrass_trend,hab_seagrass_trend_gl2018placeholder.csv,trend,trend,Habitat condition trend of seagrass,Estimated trend in seagrass condition,hab_seagrass_trend,~/github/ohi-global/eez/layers/hab_seagrass_trend.csv
CW,cw_chemical_trend,cw_chemical_trend_gl2018.csv,trend,trend,Chemical pollution trend,"Trends in chemical pollution, based on commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution) within EEZ",cw_chemical_trend,~/github/ohi-global/eez/layers/cw_chemical_trend.csv
CW,cw_nutrient_trend,cw_nutrient_trend_gl2018.csv,trend,trend,Nutrient pollution trend,"Trends in nutrient pollution, using fertilizer consumption as a proxy for nutrient pollution",cw_nutrient_trend,~/github/ohi-global/eez/layers/cw_nutrient_trend.csv
CW,cw_pathogen_trend,cw_pathogen_trend_gl2018.csv,trend,trend,Pathogen pollution trend,Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution,cw_pathogen_trend,~/github/ohi-global/eez/layers/cw_pathogen_trend.csv
CW,cw_trash_trend,cw_trash_trend_gl2018.csv,trend,trend,Plastic trash trends,Trends in trash estimated using improperly disposed of plastics,cw_trash_trend,~/github/ohi-global/eez/layers/cw_trash_trend.csv
CWAO pressureCP pressureCS pressureCW pressureECO pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureTR pressure,po_nutrients_3nm,po_nutrients_3nm_gl2018.csv,pressure_score,scaled 0-1,Coastal nutrient pollution,Modeled nutrient pollution within EEZ based on fertilizer consumption,po_nutrients_3nm,~/github/ohi-global/eez/layers/po_nutrients_3nm.csv
CWAO pressureCP pressureCS pressureCW pressureHAB pressureICO pressureLSP pressureTR pressure,po_chemicals_3nm,po_chemicals_3nm_gl2018.csv,pressure_score,scaled 0-1,Coastal chemical pollution,"Modeled chemical pollution within 3nm of coastline from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)",po_chemicals_3nm,~/github/ohi-global/eez/layers/po_chemicals_3nm.csv
CWCW pressureECO pressureICO pressureLIV pressureLSP pressureSPP pressureTR pressure,po_trash,po_trash_gl2018.csv,pressure_score,scaled 0-1,Marine plastics,Global marine plastic pollution,po_trash,~/github/ohi-global/eez/layers/po_trash.csv
CWCW pressureECO pressureLIV pressureTR pressure,po_pathogens,po_pathogens_gl2018.csv,pressure_score,scaled 0-1,Pathogen pollution,Percent of population without access to improved sanitation facilities as a proxy for pathogen pollution,po_pathogens,~/github/ohi-global/eez/layers/po_pathogens.csv
ECO,eco_status,eco_status_gl2018.csv,status,status 0-100,Economic status scores,Calculated using corrected revenue data for several marine sectors  (data not updated since 2013),eco_status,~/github/ohi-global/eez/layers/eco_status.csv
ECO,eco_trend,eco_trend_gl2018.csv,trend,trend -1 to 1,Economic trend scores,Calculated using change in revenue for several marine sectors  (data not updated since 2013),eco_trend,~/github/ohi-global/eez/layers/eco_trend.csv
ECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure,fp_art_lb,fp_art_lb_gl2018.csv,pressure_score,scaled 0-1,Low bycatch due to artisanal fishing,Pressure due to artisanal low bycatch fishing identified by reported and IUU tonnes and standardized by NPP,fp_art_lb,~/github/ohi-global/eez/layers/fp_art_lb.csv
ECO pressureFIS pressureLIV pressureMAR pressureNP pressureSPP pressure,po_chemicals,po_chemicals_gl2018.csv,pressure_score,scaled 0-1,Chemical pollution,"Modeled chemical pollution within EEZ from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)",po_chemicals,~/github/ohi-global/eez/layers/po_chemicals.csv
ECO pressureFIS pressureLIV pressureNP pressureSPP pressure,po_nutrients,po_nutrients_gl2018.csv,pressure_score,scaled 0-1,Nutrient pollution,Modeled nutrient pollution within 3nm of coastline based on fertilizer consumption,po_nutrients,~/github/ohi-global/eez/layers/po_nutrients.csv
ECO pressureFIS pressureLIV pressureSPP pressure,sp_genetic,sp_genetic_gl2018placeholder.csv,pressure_score,scaled 0-1,Genetic escapes,Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes,sp_genetic,~/github/ohi-global/eez/layers/sp_genetic.csv
ECO resilienceLIV resilience,li_gci,li_gci_gl2018.csv,resilience_score,scaled 0-1,Global Competitiveness Index (GCI),Competitiveness in achieving sustained economic prosperity,li_gci,~/github/ohi-global/eez/layers/li_gci.csv
ECOLIV,le_sector_weight,le_sector_weight_gl2018.csv,weight,value,Sectors in each region,Proportion of jobs within each marine sector,le_sector_weight,~/github/ohi-global/eez/layers/le_sector_weight.csv
FIS,fis_b_bmsy,fis_b_bmsy_gl2018.csv,bbmsy,B/Bmsy,B/Bmsy estimates,The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield (RAM and catch-MSY data),fis_b_bmsy,~/github/ohi-global/eez/layers/fis_b_bmsy.csv
FIS,fis_meancatch,fis_meancatch_gl2018.csv,mean_catch,tonnes,Fishery catch data,Mean commercial catch for each OHI region (averaged across years),fis_meancatch,~/github/ohi-global/eez/layers/fis_meancatch.csv
FIS resilienceHAB resilienceICO resilienceNP resilience,species_diversity_eez,species_diversity_eez_gl2018.csv,score,scaled 0-1,Measure of ecological integrity,Marine species condition (species subgoal status score) as a proxy for ecological integrity,species_diversity_eez,~/github/ohi-global/eez/layers/species_diversity_eez.csv
FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_mora_artisanal,fp_mora_artisanal_gl2018.csv,value,scaled 0-1,Artisanal fisheries management effectiveness,Quality of management of small-scale fishing for artisanal and recreational purposes,fp_mora_artisanal,~/github/ohi-global/eez/layers/fp_mora_artisanal.csv
FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_mpa_eez,fp_mpa_eez_gl2018.csv,resilience.score,scaled 0-1,EEZ protected marine areas (fishing preservation),Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ),fp_mpa_eez,~/github/ohi-global/eez/layers/fp_mpa_eez.csv
FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,hd_mpa_eez,hd_mpa_eez_gl2018.csv,resilience.score,scaled 0-1,EEZ protected marine areas (habitat preservation),Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ),hd_mpa_eez,~/github/ohi-global/eez/layers/hd_mpa_eez.csv
FP,fp_wildcaught_weight,fp_wildcaught_weight_gl2018.csv,w_fis,proportion,Food provision weights,"Proportion of wild caught fisheries relative to total food production (e.g., fisheries and mariculture)",fp_wildcaught_weight,~/github/ohi-global/eez/layers/fp_wildcaught_weight.csv
HAB,hab_softbottom_health,hab_softbottom_health_gl2018.csv,health,proportion,Habitat condition of softbottom,"Current condition of softbottom habitat, based on demersal destructive fishing practices (e.g., trawling)",hab_softbottom_health,~/github/ohi-global/eez/layers/hab_softbottom_health.csv
HAB,hab_softbottom_trend,hab_softbottom_trend_gl2018.csv,trend,trend,Habitat condition trend of softbottom,"Estimated change in softbottom condition, based on trends in demersal destructive fishing practices (e.g., trawling)",hab_softbottom_trend,~/github/ohi-global/eez/layers/hab_softbottom_trend.csv
HAB resilienceMAR resilienceSPP resilience,g_mariculture,g_mariculture_gl2018.csv,resilience score,scaled 0-1,Management of mariculture  to preserve biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: mariculture related questions,g_mariculture,~/github/ohi-global/eez/layers/g_mariculture.csv
HAB resilienceSPP resilience,g_tourism,g_tourism_gl2018.csv,resilience score,scaled 0-1,Management of tourism to preserve biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions,g_tourism,~/github/ohi-global/eez/layers/g_tourism.csv
ICO,ico_spp_iucn_status,ico_spp_iucn_status_gl2018.csv,category,IUCN risk category,IUCN extinction risk,IUCN extinction risk category for iconic species located within each region,ico_spp_iucn_status,~/github/ohi-global/eez/layers/ico_spp_iucn_status.csv
ICO pressureSPP pressure,fp_targetharvest,fp_targetharvest_gl2018.csv,pressure_score,scaled 0-1,Targeted harvest of cetaceans and marine turtles,Targeted harvest of cetaceans and marine turtles,fp_targetharvest,~/github/ohi-global/eez/layers/fp_targetharvest.csv
ICO resilienceNP resilienceSPP resilience,g_cites,g_cites_gl2018.csv,resilience_score,0 or 1,CITES signatories,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories,g_cites,~/github/ohi-global/eez/layers/g_cites.csv
LIV,liv_status,liv_status_gl2018.csv,status,status 0-100,Livelihood status scores,Calculated using adjusted job and wage data in several marine sectors  (data not updated since 2013),liv_status,~/github/ohi-global/eez/layers/liv_status.csv
LIV,liv_trend,liv_trend_gl2018.csv,trend,trend -1 to 1,Livelihood trend scores,Calculated using change in adjusted job and wage data in several marine sectors  (data not updated since 2013),liv_trend,~/github/ohi-global/eez/layers/liv_trend.csv
LIV resilience,li_sector_evenness,li_sector_evenness_gl2018.csv,resilience score,scaled 0-1,Economic diversity,Sector evenness based on Shannon's Diversity Index calculated on the proportion of jobs in each sector as a measure of economic diversity,li_sector_evenness,~/github/ohi-global/eez/layers/li_sector_evenness.csv
LSP,lsp_prot_area_inland1km,lsp_prot_area_inland1km_gl2018.csv,a_prot_1km,km2,Inland coastal protected areas,Protected areas located 1 km inland,lsp_prot_area_inland1km,~/github/ohi-global/eez/layers/lsp_prot_area_inland1km.csv
LSP,lsp_prot_area_offshore3nm,lsp_prot_area_offshore3nm_gl2018.csv,a_prot_3nm,km2,Offshore coastal protected areas,Protected areas located 3nm offshore,lsp_prot_area_offshore3nm,~/github/ohi-global/eez/layers/lsp_prot_area_offshore3nm.csv
LSP,rgn_area_inland1km,rgn_area_inland1km_gl2018.csv,area,km2,Inland 1km area,Inland area of OHI regions within 1km of shoreline,rgn_area_inland1km,~/github/ohi-global/eez/layers/rgn_area_inland1km.csv
LSP,rgn_area_offshore3nm,rgn_area_offshore3nm_gl2018.csv,area,km2,Offshore 3nm area,Offshore area of OHI regions within 3nm of shoreline,rgn_area_offshore3nm,~/github/ohi-global/eez/layers/rgn_area_offshore3nm.csv
MAR,mar_coastalpopn_inland25mi,mar_coastalpopn_inland25mi_gl2018.csv,popsum,count,Inland coastal population,Total coastal population within 25 miles of coast,mar_coastalpopn_inland25mi,~/github/ohi-global/eez/layers/mar_coastalpopn_inland25mi.csv
MAR,mar_harvest_tonnes,mar_harvest_tonnes_gl2018placeholder.csv,tonnes,tonnes,Mariculture harvest,Tonnes of mariculture harvest,mar_harvest_tonnes,~/github/ohi-global/eez/layers/mar_harvest_tonnes.csv
MAR,mar_sustainability_score,mar_sustainability_score_gl2018placeholder.csv,sust_coeff,scaled 0-1,Mariculture sustainability score,Mariculture sustainability based on the Mariculture Sustainability Index (MSI),mar_sustainability_score,~/github/ohi-global/eez/layers/mar_sustainability_score.csv
MAR resilience,g_msi_gov,g_msi_gov_gl2018placeholder.csv,resilience score,scaled 0-1,Mariculture Sustainability Index,Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI),g_msi_gov,~/github/ohi-global/eez/layers/g_msi_gov.csv
NP,hab_rockyreef_extent,hab_rockyreef_extent_gl2018.csv,km2,km2,Habitat extent of rocky reef,Area of rocky reef habitat,hab_rockyreef_extent,~/github/ohi-global/eez/layers/hab_rockyreef_extent.csv
NP,np_blast,np_blast_gl2018placeholder.csv,score,scaled 0-1,Blast fishing,Artisanal blast fishing,np_blast,~/github/ohi-global/eez/layers/np_blast.csv
NP,np_cyanide,np_cyanide_gl2018placeholder.csv,score,scaled 0-1,Poison fishing,Artisanal poison (cyanide) fishing,np_cyanide,~/github/ohi-global/eez/layers/np_cyanide.csv
NP,np_harvest_product_weight,np_harvest_product_weight_gl2018.csv,weight,proportion,Relative natural product harvest value,"Relative importance of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) within each region determined by dividing the max USD value (determined across most recent 10 years of data) of each product and dividing by the sum of the max USD values of all products",np_harvest_product_weight,~/github/ohi-global/eez/layers/np_harvest_product_weight.csv
NP,np_harvest_tonnes,np_harvest_tonnes_gl2018.csv,tonnes,tonnes,Natural product harvest,"Yield in metric tonnes of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)",np_harvest_tonnes,~/github/ohi-global/eez/layers/np_harvest_tonnes.csv
NP,np_harvest_tonnes_relative,np_harvest_tonnes_relative_gl2018.csv,tonnes_rel,proportion,Relative natural product harvest tonnes,Tonnes of harvest of each commodity relative to maximum harvest (with 35% buffer) of the commodity within the region observed across years,np_harvest_tonnes_relative,~/github/ohi-global/eez/layers/np_harvest_tonnes_relative.csv
spatial,rgn_area,rgn_area.csv,area_km2,km2,Region areas based on EEZ boundaries,"Area of Ocean Health Index regions modified from exclusive economic zones, weights used to calculate global score",rgn_area,~/github/ohi-global/eez/layers/rgn_area.csv
spatial,rgn_global,rgn_global.csv,label,label,OHI region id,Subset of regions that are not deleted or disputed,rgn_global,~/github/ohi-global/eez/layers/rgn_global.csv
spatial,rgn_labels,rgn_labels.csv,label,label,Regions,"Regions by type (eez, subocean, unclaimed)",rgn_labels,~/github/ohi-global/eez/layers/rgn_labels.csv
spatial,uninhabited,uninhabited_gl2018placeholder.csv,Inhabited,population,Uninhabited regions,Regions with low and no number of inhabitants (also identifies Southern Islands),uninhabited,~/github/ohi-global/eez/layers/uninhabited.csv
SPP,spp_status,spp_status_gl2018.csv,score,status score,Average species condition,Overall measure of species condition based on IUCN status of species within each region,spp_status,~/github/ohi-global/eez/layers/spp_status.csv
SPP,spp_trend,spp_trend_gl2018.csv,score,trend score,Average species condition trend,Overall measure of species condition trends based on change in IUCN status of species within each region,spp_trend,~/github/ohi-global/eez/layers/spp_trend.csv
TR,tr_jobs_pct_tourism,tr_jobs_pct_tourism_gl2018.csv,Ep,proportion,Percent direct employment in tourism,Percent direct employment in tourism,tr_jobs_pct_tourism,~/github/ohi-global/eez/layers/tr_jobs_pct_tourism.csv
TR,tr_sustainability,tr_sustainability_gl2018.csv,S_score,scaled 0-1,Tourism sustainability index,Tourism Competitiveness Index (TTCI),tr_sustainability,~/github/ohi-global/eez/layers/tr_sustainability.csv
TR,tr_travelwarnings,tr_travelwarnings_gl2018.csv,multiplier,scaled 0-1,US State Department travel warnings,US State Department travel warnings,tr_travelwarnings,~/github/ohi-global/eez/layers/tr_travelwarnings.csv
weighting,element_wts_cp_km2_x_protection,element_wts_cp_km2_x_protection_gl2018.csv,extent_rank,extent*rank_protection,Coastal protection weights,"Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass (empty dataframe filled by functions.R in ohi-global)",element_wts_cp_km2_x_protection,~/github/ohi-global/eez/layers/element_wts_cp_km2_x_protection.csv
weighting,element_wts_cs_km2_x_storage,element_wts_cs_km2_x_storage_gl2018.csv,extent_rank,extent*carbon_storage,Carbon storage weights,"Habitat extent multiplied by carbon storage capacity for: mangrove, saltmarsh, and seagrass  (empty dataframe filled by functions.R in ohi-global)",element_wts_cs_km2_x_storage,~/github/ohi-global/eez/layers/element_wts_cs_km2_x_storage.csv
weighting,element_wts_hab_pres_abs,element_wts_hab_pres_abs_gl2018.csv,boolean,0 or 1,Habitat presence/absence,List of habitats in each region (empty dataframe filled by functions.R in ohi-global),element_wts_hab_pres_abs,~/github/ohi-global/eez/layers/element_wts_hab_pres_abs.csv
,hab_softbottom_extent,hab_softbottom_extent_gl2018.csv,km2,km2,Habitat extent of softbottom,Area of softbottom habitat,hab_softbottom_extent,~/github/ohi-global/eez/layers/hab_softbottom_extent.csv
,sp_alien_species,sp_alien_species_gl2018.csv,resilience score,scaled 0-1,Management of nonindigenous species,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: invasive species related questions,sp_alien_species,~/github/ohi-global/eez/layers/sp_alien_species.csv
