targets,layer,filename,fld_value,units,name,description,layer_gl,path_in
AO,ao_access,ao_access_gl2018.csv,value,scaled 0-1,Artisanal fisheries opportunity,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector,ao_access,~/github/ohi-global/eez/layers/ao_access.csv
AO,ao_need,ao_need_gl2018.csv,value,scaled 0-1,Economic need for artisanal fishing,Inverse of per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP as a proxy for subsistence fishing need,ao_need,~/github/ohi-global/eez/layers/ao_need.csv
AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure,ss_spi,ss_spi_gl2018.csv,pressure_score,scaled 0-1,Weakness of social progress,Inverse of Social Progress Index scores,ss_spi,~/github/ohi-global/eez/layers/ss_spi.csv
AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure,ss_wgi,ss_wgi_gl2018.csv,pressure_score,scaled 0-1,Weakness of governance,Inverse of World Governance Indicators (WGI) six combined scores,ss_wgi,~/github/ohi-global/eez/layers/ss_wgi.csv
AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure,hd_intertidal,hd_intertidal_gl2018.csv,pressure_score,scaled 0-1,Intertidal habitat destruction,Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction,hd_intertidal,~/github/ohi-global/eez/layers/hd_intertidal.csv
AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure,sp_alien,sp_alien_gl2018.csv,pressures.score,scaled 0-1,Nonindigenous species,Measure of harmful invasive species,sp_alien,~/github/ohi-global/eez/layers/sp_alien.csv
AO pressureCP pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure,hd_subtidal_hb,hd_subtidal_hb_gl2018placeholder.csv,score,scaled 0-1,Subtidal hardbottom habitat destruction,Presence of blast fishing as an estimate of subtidal hard bottom habitat destruction,hd_subtidal_hb,~/github/ohi-global/eez/layers/hd_subtidal_hb.csv
AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureNP pressureSPP pressure,fp_art_hb,fp_art_hb_gl2018.csv,pressure_score,scaled 0-1,High bycatch due to artisanal fishing,Pressure due to artisanal high bycatch fishing identified by discard tonnes and standardized by NPP,fp_art_hb,~/github/ohi-global/eez/layers/fp_art_hb.csv
AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureSPP pressure,fp_com_hb,fp_com_hb_gl2018.csv,pressure_score,scaled 0-1,High bycatch due to commercial fishing,Pressure due to industrial high bycatch fishing identified by discard tonnes and standardized by NPP,fp_com_hb,~/github/ohi-global/eez/layers/fp_com_hb.csv
AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure,fp_com_lb,fp_com_lb_gl2018.csv,pressure_score,scaled 0-1,Low bycatch due to commercial fishing,Pressure due to industrial low bycatch fishing identified by reported and IUU tonnes and standardized by NPP,fp_com_lb,~/github/ohi-global/eez/layers/fp_com_lb.csv
AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure,hd_subtidal_sb,hd_subtidal_sb_gl2018.csv,pressure_score,scaled 0-1,Subtidal soft bottom habitat destruction,"Pressure on soft-bottom habitats due to demersal destructive commercial fishing practices (e.g., trawling)",hd_subtidal_sb,~/github/ohi-global/eez/layers/hd_subtidal_sb.csv
AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,res_spi,res_spi_gl2018.csv,resilience_score,scaled 0-1,Social Progress Index,Social Progress Index scores,res_spi,~/github/ohi-global/eez/layers/res_spi.csv
AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,wgi_all,wgi_all_gl2018.csv,resilience_score,scaled 0-1,Strength of governance,World Governance Indicators (WGI) six combined scores,wgi_all,~/github/ohi-global/eez/layers/wgi_all.csv
